,id,target,disposition,period,t0,duration
0,K00752.01,1,CONFIRMED,9.48803557,170.53875,2.9575
1,K00752.02,1,CONFIRMED,54.4183827,162.51384,4.507
2,K00753.01,0,CANDIDATE,19.89913995,175.850252,1.7822
3,K00754.01,0,FALSE POSITIVE,1.736952453,170.307565,2.40641
4,K00755.01,1,CONFIRMED,2.525591777,171.59555,1.6545
5,K00756.01,1,CONFIRMED,11.09432054,171.20116,4.5945
6,K00756.02,1,CONFIRMED,4.13443512,172.97937,3.1402
7,K00756.03,1,CONFIRMED,2.56658897,179.55437,2.429
8,K00114.01,0,FALSE POSITIVE,7.36178958,132.25053,5.022
9,K00757.01,1,CONFIRMED,16.06864674,173.621937,3.5347
10,K00001.01,1,CONFIRMED,2.470613377,122.763305,1.74319
11,K00002.01,1,CONFIRMED,2.204735417,121.3585417,3.88864
12,K00010.01,1,CONFIRMED,3.522498429,121.1194228,3.19843
13,K00112.02,1,CONFIRMED,3.709214104,133.98318,2.6302
14,K00742.01,0,FALSE POSITIVE,11.521446064,170.839688,3.6399
15,K00743.01,0,FALSE POSITIVE,19.40393776,172.484253,12.2155
16,K00744.01,0,FALSE POSITIVE,19.221388942,184.5521637,4.79843
17,K00745.01,0,FALSE POSITIVE,16.46983774,180.881761,9.4378
18,K00746.01,1,CONFIRMED,9.27358173,173.258155,3.2875
19,K00747.01,1,CONFIRMED,6.02930329,171.602959,1.5821
20,K00748.01,0,FALSE POSITIVE,2.696370652,170.73769,3.6129
21,K00749.01,1,CONFIRMED,5.349553819,171.80694,3.0278
22,K00749.02,1,CONFIRMED,3.94105221,136.08662,2.5984
23,K00749.03,1,CONFIRMED,8.10904807,132.8031,3.596
24,K00113.01,0,FALSE POSITIVE,386.6030528,166.342079,6.8057
25,K00750.01,1,CONFIRMED,21.67699193,171.53594,3.4555
26,K00751.01,1,CONFIRMED,4.99677968,171.74208,2.1717
27,K00769.01,1,CONFIRMED,4.280963604,171.89659,2.875
28,K00770.01,0,FALSE POSITIVE,1.50635409,170.998064,1.5155
29,K00771.01,0,FALSE POSITIVE,670.645531,209.04355,53.412
30,K00772.01,0,FALSE POSITIVE,61.2563628,173.83826,7.633
31,K00773.01,1,CONFIRMED,38.3775486,172.82048,5.588
32,K00757.02,1,CONFIRMED,41.19725502,165.00404,4.6297
33,K00757.03,1,CONFIRMED,6.252962249,171.30126,2.5819
34,K00758.01,1,CONFIRMED,16.01308419,176.3608,3.2554
35,K00759.01,1,CONFIRMED,32.62876672,194.1019,4.7971
36,K00759.02,1,CONFIRMED,91.7732862,193.8378,6.473
37,K00760.01,0,CANDIDATE,4.959319244,172.2585292,2.22739
38,K00761.01,0,FALSE POSITIVE,2.701287801,170.69579,3.3827
39,K00762.01,1,CONFIRMED,4.49876511,171.34905,3.7362
40,K00763.01,0,FALSE POSITIVE,19.651209505,179.401981,5.2514
41,K00115.01,1,CONFIRMED,5.412203927,133.143089,2.9472
42,K00764.01,1,CONFIRMED,41.43958662,208.93203,10.5989
43,K00765.01,1,CONFIRMED,8.35389523,171.63257,2.2514
