mission,koi_id,koi_name,koi_time0bk,koi_period,koi_duration,koi_is_planet
TESS,50365310,1000.01,2459229.630046,2.171348,0.084051,0
TESS,124709665,1002.01,2459202.277870,1.867588,0.092161,0
TESS,106997505,1003.01,2458493.395700,2.743230,0.131958,0
TESS,238597883,1004.01,2459229.549032,3.577575,0.122280,0
TESS,169904935,1005.01,2458492.555200,4.550720,0.108292,0
TESS,156115721,1006.01,2459229.984579,2.504792,0.182490,0
TESS,440801822,1008.01,2458492.521350,2.049360,0.093083,0
TESS,231663901,101.01,2459036.904104,1.430369,0.068495,1
TESS,139853601,1010.01,2459228.878101,0.680870,0.102644,0
TESS,97700520,1013.01,2459232.248322,5.425555,0.165156,0
TESS,175310067,1016.01,2459238.831138,12.688942,0.330004,0
TESS,182943944,1017.01,2458518.965360,1.104220,0.098750,0
TESS,291555748,1018.01,2458492.780780,4.959120,0.104542,0
TESS,149603524,102.01,2459384.943122,4.411929,0.162250,1
TESS,140706664,1020.01,2458521.291080,3.288920,0.158042,0
TESS,143994283,1021.01,2458492.904290,1.908790,0.079542,0
TESS,238374636,1023.01,2459303.303969,1.321448,0.143125,0
TESS,141482386,1024.01,2458339.722760,18.015700,0.105167,0
TESS,388624270,1026.01,2459237.459734,14.269437,0.288960,0
TESS,447283466,1028.01,2458544.480660,1.016060,0.118458,0
TESS,374908020,1029.01,2458365.893130,36.222140,0.212792,0
TESS,336732616,103.01,2458327.252560,3.547854,0.145597,1
TESS,464296022,1030.01,2458551.327470,12.123690,0.202042,0
TESS,304021498,1031.01,2459282.239861,5.649683,0.106720,0
TESS,149601557,1033.01,2459179.544550,29.016250,0.271125,0
TESS,400595342,1034.01,2459283.337537,3.634469,0.105580,0
TESS,363260203,1037.01,2459308.305635,1.201327,0.143647,0
TESS,90544017,1038.01,2459273.371643,3.223599,0.089958,0
TESS,231670397,104.01,2459038.863566,4.087299,0.232755,1
TESS,310483807,1040.01,2458520.656740,2.555550,0.065250,0
TESS,385624852,1041.01,2459261.801216,8.307920,0.134500,0
TESS,90448944,1043.01,2459305.355863,1.441571,0.099250,0
TESS,54044474,1045.01,2459301.544126,3.703999,0.178208,0
TESS,309787037,1046.01,2459255.760033,1.303890,0.085197,0
TESS,370745311,1047.01,2458544.790610,0.626270,0.027750,0
TESS,384549882,1048.01,2458518.376000,0.304120,0.031167,0
TESS,16288184,1049.01,2459363.821393,2.180528,0.123716,1
TESS,144065872,105.01,2459084.585010,2.184667,0.119387,1
TESS,66818296,1050.01,2459336.867880,3.735570,0.180263,1
TESS,259863352,1051.01,2458657.736625,21.701669,0.344485,0
TESS,112395568,1053.01,2458657.999179,5.742625,0.119179,0
TESS,366989877,1054.01,2458664.970821,15.507730,0.210390,1
TESS,320004517,1055.01,2458661.062997,17.471288,0.179081,1
TESS,38846515,106.01,2459386.715318,2.849382,0.158583,1
TESS,253990973,1061.01,2458654.253249,0.540933,0.069764,0
TESS,299799658,1062.01,2458325.426781,4.115013,0.049834,1
TESS,79748331,1064.01,2458656.668250,6.443857,0.079309,1
TESS,79748331,1064.02,2458664.491265,12.226488,0.090371,1
TESS,7088246,1065.01,2458654.347994,2.160344,0.076202,1
TESS,201604954,1066.01,2458657.832537,4.606184,0.130068,1
TESS,201642601,1067.01,2459039.050910,3.131659,0.097386,1
TESS,6663331,1068.01,2458656.633231,3.180362,0.087980,1
TESS,31858843,1069.01,2458655.579589,2.977637,0.130169,1
TESS,92352620,107.01,2459039.335846,3.950201,0.190182,1
TESS,31858844,1070.01,2458655.579241,2.977615,0.135707,0
TESS,120247528,1071.01,2458655.395924,3.553814,0.085691,1
TESS,140830390,1072.01,2459211.732146,12.837969,0.410267,0
TESS,158297421,1073.01,2459036.472812,3.922802,0.078067,1
TESS,360742636,1076.01,2458654.162996,2.549566,0.108054,1
TESS,370133522,1078.01,2458654.105455,0.518239,0.031250,1
TESS,289793076,108.01,2458328.083830,3.044054,0.108269,1
TESS,380589029,1084.01,2459388.903698,1.348496,0.100218,1
TESS,426077080,1087.01,2458630.771940,9.309920,0.144333,0
TESS,343648136,1088.01,2458626.389550,1.153950,0.093167,0
TESS,129319156,1089.01,2458643.102640,4.737030,0.162583,0
TESS,29344935,109.01,2458326.127889,2.766748,0.108325,1
TESS,361034196,1090.01,2458628.963160,2.192960,0.191083,0
TESS,387079085,1092.01,2458601.380960,1.192300,0.129958,0
TESS,382331352,1093.01,2458601.337910,11.476060,0.253458,0
TESS,375225453,1096.01,2459307.935770,0.920953,0.077511,0
TESS,383390264,1098.01,2458629.909005,10.182698,0.120492,1
TESS,281459670,110.01,2458328.040318,3.174347,0.110480,1
TESS,271581073,1101.01,2459037.441764,2.669008,0.073711,0
TESS,311890977,1102.01,2458627.804230,6.633710,0.088417,0
TESS,295599256,1108.01,2458655.548720,7.143860,0.061125,0
TESS,50309953,1109.01,2459083.351680,7.040830,0.124125,0
TESS,355703913,111.01,2458326.105050,2.106161,0.061139,1
TESS,446549905,1110.01,2458654.608890,2.454660,0.097125,0
TESS,412014494,1111.01,2458663.001910,11.465970,0.070750,0
TESS,369864738,1112.01,2458626.541680,2.781860,0.102333,0
TESS,290348382,1113.01,2458658.787150,6.440490,0.077250,0
TESS,90919952,1118.01,2458660.163160,4.138120,0.162958,0
TESS,388104525,112.01,2459307.332998,2.499800,0.119382,1
TESS,143257766,1120.01,2458656.448540,1.662550,0.136875,0
TESS,24094603,1121.01,2458658.610520,4.076110,0.085917,0
TESS,304774444,1122.01,2458658.774210,3.626540,0.137417,0
TESS,405862830,1126.01,2458658.248050,1.626520,0.139792,0
TESS,269450900,1127.01,2458657.630730,2.324390,0.185542,0
TESS,425721385,1128.01,2458663.152450,13.549900,0.074792,0
TESS,91576611,1129.01,2458659.069270,4.436510,0.140208,0
TESS,97409519,113.01,2458327.053085,3.372877,0.109761,1
TESS,254113311,1130.01,2458657.898050,8.349980,0.076500,1
TESS,254113311,1130.02,2458658.738050,4.067190,0.074292,1
TESS,267489265,1132.01,2458683.679400,1.550580,0.123167,0
TESS,69997672,1133.01,2458684.234900,1.807090,0.137375,0
TESS,122220263,1134.01,2458688.527950,nan,0.297583,0
TESS,110428269,1138.01,2458684.205040,0.649710,0.086500,0
TESS,25155310,114.01,2459363.488348,3.288788,0.142348,1
TESS,320525204,1140.01,2459400.983335,13.742953,0.102027,0
TESS,159510109,1141.01,2459425.490038,16.948709,0.178699,0
TESS,284450803,1142.01,2459439.857432,3.368774,0.089042,0
TESS,160268701,1143.01,2458694.078750,11.196020,0.177708,0
TESS,28230919,1144.01,2459420.376531,4.887801,0.097924,1
TESS,350995812,1145.01,2458685.816430,2.971640,0.063917,0
TESS,21755546,1146.01,2459420.415267,0.660179,0.068122,0
TESS,288391628,1147.01,2458692.142240,10.927460,0.080333,0
TESS,349827430,1148.01,2459606.364026,5.551488,0.176083,1
TESS,281541555,115.01,2458329.902014,4.742379,0.105492,1
TESS,16740101,1150.01,2458683.441986,1.481139,0.165937,1
TESS,69679391,1151.01,2459441.668735,3.474127,0.138458,1
TESS,237184773,1152.01,2458684.090870,6.501200,0.227208,0
TESS,161450762,1155.01,2458683.925940,1.320030,0.132292,0
TESS,117256577,1156.01,2459443.850453,1.686582,0.101208,0
TESS,379931600,1158.01,2458685.433800,2.925640,0.167792,0
TESS,48188920,1159.01,2458683.947070,0.737740,0.026500,0
TESS,238176110,116.01,2459037.528460,2.798579,0.097506,1
TESS,89510024,1160.01,2458683.737200,2.365490,0.073833,0
TESS,158324245,1161.01,2459420.733727,1.763589,0.135483,1
TESS,16102323,1164.01,2458686.759920,3.208060,0.090625,0
TESS,458478250,1165.01,2459608.579311,2.255286,0.094647,1
TESS,138361973,1166.01,2458684.933720,1.883270,0.103000,0
TESS,232967666,1167.01,2458689.116330,15.196000,0.074667,0
TESS,41330864,1168.01,2458684.844640,2.136000,0.072500,0
TESS,322307342,117.01,2459063.655791,3.586296,0.140462,1
TESS,294176967,1170.01,2458683.481150,0.913970,0.081458,0
TESS,101929303,1171.01,2458684.234140,11.186440,0.134458,0
TESS,1717732429,1172.01,2458687.796320,7.856940,0.247292,0
TESS,30329585,1175.01,2459437.549479,7.502271,0.108542,0
TESS,169177766,1177.01,2458684.338120,1.691270,0.133583,0
TESS,359496368,1178.01,2458685.178550,2.665900,0.146125,0
TESS,266980320,118.01,2459083.508550,6.034457,0.091977,1
TESS,341544930,1182.01,2458689.791700,7.642450,0.111833,0
TESS,258777137,1183.01,2458686.002780,5.929320,0.136907,0
TESS,83210867,1185.01,2458684.474510,1.195730,0.065375,0
TESS,15247229,1188.01,2458687.192530,8.511200,0.145250,0
TESS,237185205,1191.01,2459441.423236,15.733569,0.137000,0
TESS,89643259,1193.01,2458684.204750,2.222230,0.099208,0
TESS,24364065,1195.01,2458686.846960,4.051350,0.100000,0
TESS,203189770,1198.01,2459420.242675,3.612674,0.168793,1
TESS,394137592,120.01,2458332.082805,11.535076,0.356498,1
TESS,288185138,1200.01,2458683.825370,0.835150,0.044542,0
TESS,29960110,1201.01,2458411.670877,2.491977,0.059742,1
TESS,327017634,1202.01,2458614.434411,nan,0.113616,0
TESS,23434737,1203.01,2458553.062116,25.519531,0.278656,1
TESS,308034948,1206.01,2458569.713498,0.831542,0.082731,0
TESS,33878688,1210.01,2459187.359450,79.373754,0.224167,0
TESS,399144800,1213.01,2458576.188450,27.214103,0.163944,0
TESS,231702397,122.01,2458329.120248,5.078025,0.051726,1
TESS,360156606,1227.01,2458617.476078,27.363343,0.172505,1
TESS,290131778,123.01,2458325.374915,3.308877,0.235922,1
TESS,287156968,1230.01,2458620.317112,25.056686,0.279516,1
TESS,447061717,1231.01,2458563.889063,24.245582,0.135306,1
TESS,260647166,1233.01,2459308.481159,14.175895,0.156433,1
